Family	ClassGroup	Class	InPhylo	WithOrWithout	Proportion	ProportionWith	TotalGenomes
JADGOU01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
JADGOU01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
SIRW01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
SIRW01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
SIRW01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
JACCYY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
JACCYY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
JACCYY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
QHCF01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
QHCF01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
QHCF01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
Geothermocultoraceae	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	7With	0.0	0.0	1
Geothermocultoraceae	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	6Without	1.0	0.0	1
Geothermocultoraceae	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
AC-9	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
AC-9	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
AC-9	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
DYIV01	5Other Actinomycetota	DYIV01	Not_In_Phylogeny	7With	0.0	0.0	1
DYIV01	5Other Actinomycetota	DYIV01	Not_In_Phylogeny	6Without	1.0	0.0	1
DYIV01	5Other Actinomycetota	DYIV01	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
ATN3	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
ATN3	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
ATN3	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
